date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:05	319956/319956	---MCZ	200	added ('OK')	application/pdf	etag:W/%225492a1c6ba1b29d6b261f49d345971ca%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/ahkoJQeQX7-eWasm_SnackkarteSommerfrische.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/ahkoJQeQX7-eWasm_SnackkarteSommerfrische.pdf	(from https://www.schloss-freudenfels.ch/de/sommerfrische/index.html)
19:30:07	33411/33411	---MCZ	200	added ('OK')	text/html	etag:W/%221aa5342937ef78cdfcebeee40868b803%22	https://www.schloss-freudenfels.ch/de/anfrage-hochzeit/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/anfrage-hochzeit/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:13	955788/955788	---MCZ	200	added ('OK')	application/pdf	etag:W/%22078a3bf6814c57be9dbd4404366a2b20%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/afx8bsBOoF08xt1g_SFGetr%c3%a4nkekarte.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/afx8bsBOoF08xt1g_SFGetr%C3%A4nkekarte.pdf	(from https://www.schloss-freudenfels.ch/de/veranstaltungen/index.html)
19:30:15	21045/21045	---MCZ	200	added ('OK')	text/html	etag:W/%22a69ade0862730010d277baf417628689%22	https://www.schloss-freudenfels.ch/en/404/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/404/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:16	226/226	---M--	200	added ('OK')	text/html	etag:%224cde4b8cc5d962da313db51578468c0e%22	https://www.schloss-freudenfels.ch/de/info/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/info/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:19	35551/35551	---MCZ	200	added ('OK')	text/html	etag:W/%22f27162d6629f17b7bb403e021ffdd90f%22	https://www.schloss-freudenfels.ch/en/legal/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/legal/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:20	1990429/1990429	---MCZ	200	added ('OK')	application/pdf	etag:W/%2204ad69924d8b3cde2f2066304d710194%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/afXCxMBOoF08xjIq_SFBankettDossier.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/afXCxMBOoF08xjIq_SFBankettDossier.pdf	(from https://www.schloss-freudenfels.ch/de/veranstaltungen/index.html)
19:30:21	2115139/2115139	---MCZ	200	added ('OK')	application/pdf	etag:W/%2228870bcb94074618024a4a3bcd4ac5f3%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/afXC8MBOoF08xjIs_SFHochzeitDossier.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/afXC8MBOoF08xjIs_SFHochzeitDossier.pdf	(from https://www.schloss-freudenfels.ch/de/veranstaltungen/index.html)
19:30:22	39205/39205	---MCZ	200	added ('OK')	text/html	etag:W/%229607717c06150cee009863cae91e84c4%22	https://www.schloss-freudenfels.ch/de/legal/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/legal/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:22	122/122	---M--	200	added ('OK')	text/html	etag:%22284e5c6ed438e8d5596ae9fbe76bf34a%22	https://www.schloss-freudenfels.ch/de/hochzeiten-und-feiern/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/hochzeiten-und-feiern/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:24	1693940/1693940	---MCZ	200	added ('OK')	application/pdf	etag:W/%22534c12c081251806a8f2f7df574d9ce1%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/Z1LOepbqstJ98HrA_SFSeminarDossier2025.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/Z1LOepbqstJ98HrA_SFSeminarDossier2025.pdf	(from https://www.schloss-freudenfels.ch/de/veranstaltungen/index.html)
19:30:25	22982/22982	---MCZ	200	added ('OK')	text/html	etag:W/%22137876b258672b76fd13fc80a9502d83%22	https://www.schloss-freudenfels.ch/de/404/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/404/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:25	226/226	---M--	200	added ('OK')	text/html	etag:%22c2f60a5738d0e073121dce11a693e66c%22	https://www.schloss-freudenfels.ch/en/info/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/en/info/index-2.html	(from https://www.schloss-freudenfels.ch/en/)
19:30:27	25295/25295	---MCZ	200	added ('OK')	text/html	etag:W/%22040b25691896338ad4b03f2012e1e10f%22	https://www.schloss-freudenfels.ch/de/adventsfenster/	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/www.schloss-freudenfels.ch/de/adventsfenster/index-2.html	(from https://www.schloss-freudenfels.ch/de/veranstaltungen/index.html)
19:30:28	576574/576574	---MCZ	200	added ('OK')	application/pdf	etag:W/%2252b3f1f2f1bba36e37d580f170807977%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/14533ff8-725c-4c2f-a12e-1bceb08d6a8b_11_Preisliste_Seminare_Schloss+Freudenfels_2023_eng.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/11_Preisliste_Seminare_Schloss%20Freudenfels_2023_eng.pdf	(from https://www.schloss-freudenfels.ch/en/restaurant/index.html)
19:30:30	59530/59530	---MCZ	200	added ('OK')	application/pdf	etag:W/%2235b0e7b5f22a2012ed728a1d64db4bd5%22	https://schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/ad4QFp1ZCF7ETKo5_MenuAuffahrt.pdf	/Users/trbrmrdr/Documents/Project/hirvosti-master/schloss-freudenfels-local/schloss-freudenfels.cdn.prismic.io/schloss-freudenfels/ad4QFp1ZCF7ETKo5_MenuAuffahrt.pdf	(from https://www.schloss-freudenfels.ch/de/auffahrt/index.html)
